# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
8615015 2.23874 +5.88274 104.08252 -55.42658 4706 1.23 -2.24 151 0.44916 -3.76 1.02 1.42 0.123 14.097 35.22 16.91 21.12 -28.97 23.27 37.16 -17.00
214506122 200.54071 +12.21696 330.21121 +73.43973 4734 1.53 -2.32 14 0.82587 -3.80 0.82 0.96 0.095 12.476 17.22 6.15 7.90 16.54 4.46 17.13 -13.85
318807092 235.63168 +9.70450 17.88796 +46.12216 4357 0.69 -2.26 73 0.93997 -5.20 0.26 0.36 0.137 11.688 22.40 3.42 2.85 16.17 8.29 18.17 -14.11
286406141 148.68144 +18.41596 215.45321 +48.55951 4584 0.97 -2.36 198 0.65434 -4.74 0.42 0.50 0.092 10.836 12.50 2.57 2.67 9.40 15.50 18.12 -13.62
52803190 293.29880 +40.07014 73.13842 +9.79493 4157 1.30 -2.12 -66 2.14089 -3.72 1.24 1.42 0.064 11.309 9.84 4.72 7.58 1.70 10.63 10.77 -11.17
230614073 170.62521 +3.99449 256.49940 +58.60270 4639 1.28 -2.30 386 0.72665 -3.84 0.98 1.06 0.096 8.487 2.79 1.08 1.59 2.41 8.46 8.80 -9.79
350003224 203.17226 +8.96023 333.07528 +69.38120 4756 1.29 -2.17 92 0.57193 -3.78 0.66 0.68 0.079 11.626 11.63 3.13 4.13 10.91 4.73 11.89 -13.32
230208012 211.50044 +30.88937 50.36319 +73.29150 4714 1.55 -2.19 -54 0.73469 -3.66 0.88 1.08 0.115 11.580 10.59 4.15 5.29 10.17 6.50 12.07 -12.96
115605141 204.59236 +32.55089 63.81912 +78.47872 4362 0.69 -2.10 -193 0.46083 -5.30 0.22 0.34 0.185 10.142 11.25 1.63 1.20 11.05 7.29 13.24 -13.33
14811107 359.76837 +33.11481 110.46691 -28.48630 4345 1.39 -1.17 -31 2.22153 -4.26 0.60 0.60 0.048 11.681 15.09 3.64 4.80 -7.17 17.72 19.12 -13.77
341004188 264.96820 +8.05324 32.07942 +19.54814 4668 1.28 -1.84 -141 0.42032 -3.98 0.54 0.52 0.140 10.761 8.32 1.77 2.35 2.81 4.38 5.21 -11.34
243211154 216.33873 +18.44379 15.98365 +66.72702 4767 1.58 -2.23 2 0.64638 -3.54 0.76 0.78 0.101 10.139 5.20 1.57 2.18 4.80 6.05 7.72 -10.35
144602015 194.14989 +26.16486 353.35081 +88.49724 4604 1.25 -2.29 -225 0.59334 -4.18 0.76 0.94 0.098 11.457 12.82 4.50 5.37 12.84 7.67 14.95 -12.93
