# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
337914072 243.70798 +13.69694 27.70141 +40.83671 4342 1.03 -2.28 -19 0.73395 -4.54 0.64 0.86 0.028 11.943 19.55 6.39 6.70 12.81 8.56 15.40 -14.22
266113027 329.74396 -0.31150 58.56971 -40.70317 4712 1.45 -2.27 -192 0.68280 -4.06 0.56 0.60 0.068 12.093 16.48 3.98 4.85 -10.72 10.76 15.19 -13.67
247813127 341.70200 +5.29094 75.34298 -45.75093 4627 1.22 -2.31 -95 0.49536 -4.44 0.48 0.56 0.124 12.792 26.40 6.00 6.53 -18.88 18.13 26.18 -14.91
214409137 188.64894 +14.84406 284.38794 +77.10544 4349 0.74 -2.35 29 0.92567 -4.48 0.74 1.16 0.077 14.221 53.06 21.96 21.55 51.75 12.54 53.25 -18.09
29402048 183.11588 +28.60333 200.95616 +81.26350 4616 1.11 -2.14 -77 0.64833 -4.24 0.72 0.90 0.073 12.819 24.95 8.47 9.81 24.69 11.62 27.29 -15.04
337015131 135.48735 +1.12990 228.09937 +29.25928 4542 1.00 -2.28 222 0.66810 -4.66 0.50 0.62 0.052 10.535 10.68 2.65 2.77 5.25 15.82 16.67 -14.07
133614223 235.24802 -0.50752 5.85304 +40.78873 4544 1.05 -2.28 -37 0.93054 -4.04 0.92 1.16 0.198 10.939 9.04 3.74 4.77 5.93 1.38 6.09 -11.21
327615006 251.79538 +6.46022 24.00762 +30.50538 4665 1.31 -2.13 -3 0.59727 -4.26 0.46 0.50 0.113 11.400 12.87 2.65 3.04 6.56 4.99 8.24 -11.77
337909006 246.52679 +13.59243 29.02824 +38.29334 4707 1.47 -2.10 -171 0.58301 -4.06 0.48 0.44 0.102 9.948 6.04 1.11 1.49 3.77 4.49 5.86 -10.71
299703134 185.98338 +27.61862 206.76373 +83.87498 4519 0.94 -2.34 -63 0.34327 -4.94 0.36 0.46 0.139 11.690 19.87 3.79 3.58 19.79 9.94 22.14 -14.61
133615249 236.53972 -0.20178 7.19656 +39.94368 4470 0.94 -2.28 -213 0.25957 -4.68 0.54 0.72 0.158 10.002 8.03 2.27 2.27 5.18 2.04 5.57 -10.98
141903099 206.31720 +5.41890 335.88311 +64.78884 4604 1.18 -2.15 74 0.55226 -4.34 0.62 0.70 0.124 10.834 10.23 2.82 3.38 9.29 4.40 10.27 -13.42
309605074 198.33234 +18.32848 333.87630 +79.85912 4390 0.66 -2.36 -72 0.50600 -5.34 0.14 0.24 0.087 12.923 43.17 4.52 2.87 42.52 3.55 42.67 -15.75
238204089 246.31265 +23.58759 41.22274 +41.92464 4363 1.32 -2.20 54 0.79541 -4.54 0.70 1.10 0.184 12.392 22.37 8.89 8.51 14.97 11.86 19.10 -14.88
308815193 195.30791 +38.82232 113.62126 +78.12833 4500 0.95 -2.00 -96 0.55465 -4.94 0.32 0.38 0.041 11.577 19.73 3.17 3.13 19.34 10.32 21.92 -14.84
59503224 9.68572 +28.27919 119.53987 -34.50893 3972 0.70 -1.75 40 0.92153 -5.94 0.12 0.22 0.264 11.183 23.54 2.27 1.34 -13.31 24.35 27.75 -14.67
3912037 351.94739 +27.69915 101.14925 -31.61006 4593 1.37 -1.85 -219 1.23736 -4.06 0.74 0.84 0.055 12.051 16.26 5.22 6.60 -8.50 17.28 19.26 -14.14
280001232 180.33130 +33.49133 179.39997 +77.46584 4704 1.40 -2.21 -29 0.51582 -4.14 0.54 0.56 0.070 9.986 6.48 1.47 1.83 6.35 9.41 11.35 -12.86
341515243 251.23418 +6.13175 23.36661 +30.84464 4578 0.95 -2.35 -72 0.68947 -4.78 0.36 0.42 0.036 12.003 22.36 3.93 4.03 11.49 12.27 16.81 -14.23
66116051 358.86819 +4.35500 97.57797 -55.73734 4629 1.31 -2.14 -200 0.67010 -4.52 0.48 0.58 0.195 7.087 1.92 0.45 0.47 -1.56 8.21 8.36 -9.05
295014119 171.23589 +45.59203 160.17808 +64.78234 4639 1.28 -2.14 49 0.49510 -4.24 0.60 0.68 0.061 11.598 14.30 3.85 4.55 12.97 13.89 19.00 -14.17
49206207 199.05096 +17.77302 335.62474 +79.03873 4291 0.52 -2.38 49 0.92966 -5.36 0.14 0.24 0.128 11.243 19.73 2.06 1.31 19.39 4.84 19.99 -14.42
220714123 185.96379 +11.02084 279.67456 +72.63525 4467 0.95 -2.32 121 0.54217 -5.08 0.28 0.44 0.122 11.642 20.89 3.83 2.88 19.97 9.28 22.02 -13.53
121603166 145.71481 +45.16759 174.33823 +48.60308 4224 0.25 -2.16 106 0.66018 -5.40 0.20 0.34 0.179 13.094 46.03 6.67 4.44 34.55 38.40 51.66 -16.90
209214128 107.48100 +32.00233 185.40650 +17.60552 4437 0.85 -2.19 -100 0.31065 -5.02 0.34 0.50 0.140 10.551 12.20 2.51 2.07 3.72 19.61 19.95 -13.55
328003003 148.91577 +41.92253 178.77456 +51.39343 4429 0.71 -2.38 265 0.38927 -5.30 0.16 0.24 0.071 10.580 14.52 1.52 1.11 11.37 17.06 20.50 -14.60
275110112 158.41980 +17.71118 222.15559 +56.92133 4457 0.78 -2.38 172 0.60013 -5.22 0.20 0.26 0.095 12.008 26.71 3.01 2.58 22.41 21.20 30.85 -14.83
277612200 133.58621 +39.90014 182.19421 +39.89233 4643 1.17 -2.24 14 0.42486 -4.34 0.56 0.64 0.069 10.884 10.74 2.74 3.16 6.92 16.24 17.65 -13.97
327413084 172.40796 +40.47239 169.38402 +68.48583 4629 1.19 -2.12 113 0.55092 -4.50 0.40 0.44 0.076 10.553 9.89 1.81 2.00 9.23 11.59 14.81 -13.19
225404122 223.50813 +31.66807 50.01849 +63.00560 4632 1.22 -2.16 -257 0.47829 -4.44 0.54 0.60 0.086 11.883 17.67 4.27 4.99 15.78 6.77 17.17 -14.79
303301025 219.87134 +16.06025 14.65186 +62.63579 4666 1.19 -2.22 -107 0.71501 -4.32 0.44 0.46 0.053 10.498 8.97 1.71 2.02 8.00 4.14 9.01 -12.72
162912010 331.85989 +23.53679 81.05572 -25.70346 4616 1.25 -2.17 -412 0.71026 -4.20 0.64 0.74 0.118 9.322 4.80 1.39 1.64 -2.05 8.48 8.73 -11.74
51005041 237.71909 +27.93821 44.84133 +50.44104 4573 1.18 -2.03 -39 0.51529 -4.04 0.84 1.02 0.033 11.240 11.20 4.20 5.29 8.67 5.83 10.44 -13.46
29404230 185.21420 +30.41457 185.00304 +82.53874 4476 1.24 -1.27 -154 0.91815 -4.12 0.78 0.84 0.017 12.528 21.19 6.80 9.16 21.04 10.74 23.62 -14.24
227810121 205.14804 -3.38023 326.06853 +57.26686 4669 1.35 -2.25 -144 0.69889 -4.06 0.70 0.80 0.104 10.681 8.46 2.61 3.22 7.14 4.92 8.67 -12.67
